Title,Price,Location,Link,Distance,Review_Score,Review_Score_,Number_Of_Reviews,Room_Type,Max_Persons,Room_Info,Rooms_Left,Details,Field
"SPOT ON 4674 Sujan Residency
Opens in new window","₹ 3,268",Tirupati,https://www.booking.com/hotel/in/oyo-4674-sujan-residency.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=728685303_321044341_2_0_0&highlighted_blocks=728685303_321044341_2_0_0&matching_block_id=728685303_321044341_2_0_0&sr_pri_blocks=728685303_321044341_2_0_0__326755&from=searchresults#hotelTmpl,500 m from centre,5.1,Review score ,13 reviews,Economy Triple Room,"3 nights, 2 adults",1 extra-large double bed,,"Economy Triple Room
1 extra-large double bed
FREE cancellation • No prepayment needed
You can cancel later, so lock in this great price today.",
"Hotel PLR Grand
Opens in new window","₹ 8,421",Tirupati,https://www.booking.com/hotel/in/plr-grand.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=90339202_88887897_2_2_0&highlighted_blocks=90339202_88887897_2_2_0&matching_block_id=90339202_88887897_2_2_0&sr_pri_blocks=90339202_88887897_2_2_0__842076&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,300 m from centre,6.3,Review score ,295 reviews,Deluxe Double Room,"3 nights, 2 adults",Multiple bed types,,"Deluxe Double Room
Multiple bed types",
"Bliss Hotel
Opens in new window","₹ 15,000",Tirupati,https://www.booking.com/hotel/in/bliss.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=41820402_166432093_2_2_0&highlighted_blocks=41820402_166432093_2_2_0&matching_block_id=41820402_166432093_2_2_0&sr_pri_blocks=41820402_166432093_2_2_0__1500000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,1.2 km from centre,7.5,Good ,150 reviews,Executive Double or Twin Room,"3 nights, 2 adults",Multiple bed types,,"Executive Double or Twin Room
Multiple bed types
FREE cancellation • No prepayment needed
You can cancel later, so lock in this great price today.
Only 5 rooms left at this price on our site",
"OYO 76010 Hotel Jayalakshmi Residency
Opens in new window","₹ 5,148",Tirupati,https://www.booking.com/hotel/in/oyo-flagship-41985-jayalakshmi-residency.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=531040203_328184204_2_0_0&highlighted_blocks=531040203_328184204_2_0_0&matching_block_id=531040203_328184204_2_0_0&sr_pri_blocks=531040203_328184204_2_0_0__514799&from=searchresults#hotelTmpl,1.1 km from centre,5.4,Review score ,18 reviews,Classic Triple Room,"3 nights, 2 adults",1 large double bed,,"Classic Triple Room
1 large double bed
Free cancellation
You can cancel later, so lock in this great price today.",
"Collection O O 82449 Hotel Srinivasa Residency
Opens in new window","₹ 3,015",Tirupati,https://www.booking.com/hotel/in/capital-o-82449-srinivasa-residency.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=779720803_337808982_2_0_0&highlighted_blocks=779720803_337808982_2_0_0&matching_block_id=779720803_337808982_2_0_0&sr_pri_blocks=779720803_337808982_2_0_0__301501&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,1.1 km from centre,5.1,Review score ,10 reviews,Double Room,"3 nights, 2 adults",1 extra-large double bed,,"Double Room
1 extra-large double bed
FREE cancellation • No prepayment needed
You can cancel later, so lock in this great price today.",
"Hotel DKR RESIDENCY
Opens in new window","₹ 3,567",Tirupati,https://www.booking.com/hotel/in/dkr-residency-tirupati.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=518120102_180454924_2_0_0&highlighted_blocks=518120102_180454924_2_0_0&matching_block_id=518120102_180454924_2_0_0&sr_pri_blocks=518120102_180454924_2_0_0__356745&from=searchresults#hotelTmpl,1 km from centre,6.7,Review score ,27 reviews,Deluxe Double Room,"3 nights, 2 adults",1 large double bed,,"Deluxe Double Room
1 large double bed
FREE cancellation • No prepayment needed
You can cancel later, so lock in this great price today.
Only 5 rooms left at this price on our site",
"OYO 76010 Hotel Jayalakshmi Residency
Opens in new window","₹ 5,148",Tirupati,https://www.booking.com/hotel/in/oyo-flagship-41985-jayalakshmi-residency.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=531040203_328184204_2_0_0&highlighted_blocks=531040203_328184204_2_0_0&matching_block_id=531040203_328184204_2_0_0&sr_pri_blocks=531040203_328184204_2_0_0__514799&from=searchresults#hotelTmpl,1.1 km from centre,5.4,Review score ,18 reviews,Classic Triple Room,"3 nights, 2 adults",1 large double bed,,"Classic Triple Room
1 large double bed
Free cancellation
You can cancel later, so lock in this great price today.",
"Brundavan guest house
Opens in new window","₹ 3,888",Tirupati,https://www.booking.com/hotel/in/brundavan-guest-house-tirupati.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=733936301_327176074_2_0_0&highlighted_blocks=733936301_327176074_2_0_0&matching_block_id=733936301_327176074_2_0_0&sr_pri_blocks=733936301_327176074_2_0_0__388800&from=searchresults#hotelTmpl,0.5 km from centre,,,,One-Bedroom Apartment,"3 nights, 2 adults","Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 150m²
3 beds (1 double, 1 extra-large double, 1 sofa bed)",,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 150m²
3 beds (1 double, 1 extra-large double, 1 sofa bed)
FREE cancellation • No prepayment needed
You can cancel later, so lock in this great price today.",
"Hotel GR Residency
Opens in new window","₹ 2,697",Tirupati,https://www.booking.com/hotel/in/gr-residency-tirupati1.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=691806906_285069580_2_10_0&highlighted_blocks=691806906_285069580_2_10_0&matching_block_id=691806906_285069580_2_10_0&sr_pri_blocks=691806906_285069580_2_10_0__269730&from=searchresults#hotelTmpl,1.7 km from centre,5.6,Review score ,30 reviews,Standard Double Room with Fan,"3 nights, 2 adults",1 single bed,,"Standard Double Room with Fan
1 single bed
FREE cancellation • No prepayment needed
You can cancel later, so lock in this great price today.
Only 2 rooms left at this price on our site",
"Happy Stay Inn
Opens in new window","₹ 2,847",Tirupati,https://www.booking.com/hotel/in/happystayinn.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=683335903_278428945_2_2_0&highlighted_blocks=683335903_278428945_2_2_0&matching_block_id=683335903_278428945_2_2_0&sr_pri_blocks=683335903_278428945_2_2_0__284715&from=searchresults#hotelTmpl,2.5 km from centre,5.7,Review score ,4 reviews,Small Double Room,"3 nights, 2 adults",1 double bed,,"Small Double Room
1 double bed
Only 2 rooms left at this price on our site",
"Tirupati Homestay - Apartments
Opens in new window","₹ 9,750",Tirupati,https://www.booking.com/hotel/in/sri-venkateswara-home-stay.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=477023001_236365288_4_0_0&highlighted_blocks=477023001_236365288_4_0_0&matching_block_id=477023001_236365288_4_0_0&sr_pri_blocks=477023001_236365288_4_0_0__975000&from=searchresults#hotelTmpl,1.9 km from centre,8.9,Fabulous ,96 reviews,Apartment,"3 nights, 2 adults","Entire apartment • 2 bedrooms • 1 living room • 3 bathrooms • 127m²
6 beds (2 singles, 2 sofa beds, 2 large doubles)",,"Apartment
Entire apartment • 2 bedrooms • 1 living room • 3 bathrooms • 127m²
6 beds (2 singles, 2 sofa beds, 2 large doubles)
Only 1 left at this price on our site",
"SPOT ON 36583 Hotel Srinivasa Residency
Opens in new window","₹ 2,122",Tirupati,https://www.booking.com/hotel/in/spot-on-36583-srinivasa-residency.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=484971802_328158485_2_0_0&highlighted_blocks=484971802_328158485_2_0_0&matching_block_id=484971802_328158485_2_0_0&sr_pri_blocks=484971802_328158485_2_0_0__212212&from=searchresults#hotelTmpl,1.9 km from centre,4.4,Review score ,16 reviews,Triple Room with Bathroom,"3 nights, 2 adults",2 single beds,,"Triple Room with Bathroom
2 single beds
Free cancellation
You can cancel later, so lock in this great price today.",
"OYO 71957 Hotel Srinivasa Residency
Opens in new window","₹ 3,565",Tirupati,https://www.booking.com/hotel/in/oyo-71957-srinivasa-residency.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=638019902_328252985_2_0_0&highlighted_blocks=638019902_328252985_2_0_0&matching_block_id=638019902_328252985_2_0_0&sr_pri_blocks=638019902_328252985_2_0_0__356516&from=searchresults#hotelTmpl,450 m from centre,2.2,Review score ,5 reviews,Deluxe Triple Room,"3 nights, 2 adults",1 extra-large double bed,,"Deluxe Triple Room
1 extra-large double bed
Free cancellation
You can cancel later, so lock in this great price today.",
"OYO Flagship 7508 Poojith Residency
Opens in new window","₹ 3,546",Tirupati,https://www.booking.com/hotel/in/pph-living-mr-poojith-residency.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=721318607_343976776_2_2_0&highlighted_blocks=721318607_343976776_2_2_0&matching_block_id=721318607_343976776_2_2_0&sr_pri_blocks=721318607_343976776_2_2_0__354551&from=searchresults#hotelTmpl,0.6 km from centre,,,,Double Room,"3 nights, 2 adults",1 large double bed,,"Double Room
1 large double bed
Free cancellation
You can cancel later, so lock in this great price today.",
"OYO spot on 71765 Sri Muni Residency
Opens in new window","₹ 2,923",Tirupati,https://www.booking.com/hotel/in/oyo-71765-sri-muni-residency.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=635874104_331486818_2_0_0&highlighted_blocks=635874104_331486818_2_0_0&matching_block_id=635874104_331486818_2_0_0&sr_pri_blocks=635874104_331486818_2_0_0__292324&from=searchresults#hotelTmpl,4.1 km from centre,5.9,Review score ,13 reviews,Triple Room with Bathroom,"3 nights, 2 adults",1 extra-large double bed,,"Triple Room with Bathroom
1 extra-large double bed
Free cancellation
You can cancel later, so lock in this great price today.",
"Capital O 27775 Hotel Srinivasa Residency
Opens in new window","₹ 4,924",Tirupati,https://www.booking.com/hotel/in/oyo-27775-srinivasa-residency-tirupati1.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=463748202_328156945_2_1_0&highlighted_blocks=463748202_328156945_2_1_0&matching_block_id=463748202_328156945_2_1_0&sr_pri_blocks=463748202_328156945_2_1_0__492365&from=searchresults#hotelTmpl,2.3 km from centre,4.2,Review score ,19 reviews,Classic Triple Room,"3 nights, 2 adults","2 beds (1 single, 1 extra-large double)",,"Classic Triple Room
2 beds (1 single, 1 extra-large double)
Breakfast included
Free cancellation
You can cancel later, so lock in this great price today.",
"OYO 60574 Tnr Residency
Opens in new window","₹ 5,300",Tirupati,https://www.booking.com/hotel/in/oyo-60574-tnr-residency.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=37&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=564148202_328187573_2_1_0&highlighted_blocks=564148202_328187573_2_1_0&matching_block_id=564148202_328187573_2_1_0&sr_pri_blocks=564148202_328187573_2_1_0__529994&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2.1 km from centre,7.7,Good ,8 reviews,Classic Triple Room,"3 nights, 2 adults",1 extra-large double bed,,"Classic Triple Room
1 extra-large double bed
Breakfast included
Free cancellation
You can cancel later, so lock in this great price today.",
"divine homestay tirupati villa
Opens in new window","₹ 16,500",Tirupati,https://www.booking.com/hotel/in/divine-homestay-villa-garden.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=761855401_333317712_4_1_0&highlighted_blocks=761855401_333317712_4_1_0&matching_block_id=761855401_333317712_4_1_0&sr_pri_blocks=761855401_333317712_4_1_0__1650000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3.2 km from centre,9.0,Superb ,8 reviews,Two-Bedroom Villa,"3 nights, 2 adults","Entire villa • 2 bedrooms • 1 living room • 2 bathrooms • 464m²
3 beds (1 sofa bed, 2 large doubles)",,"Two-Bedroom Villa
Entire villa • 2 bedrooms • 1 living room • 2 bathrooms • 464m²
3 beds (1 sofa bed, 2 large doubles)
Breakfast included
FREE cancellation • No prepayment needed
You can cancel later, so lock in this great price today.",
"NADENDLAS CHIRUHAS SERVICE APATMENT
Opens in new window","₹ 6,000",Tirupati,https://www.booking.com/hotel/in/nadendlas-chiruhas-service-apatment.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=40&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=819101302_344524382_2_2_0&highlighted_blocks=819101302_344524382_2_2_0&matching_block_id=819101302_344524382_2_2_0&sr_pri_blocks=819101302_344524382_2_2_0__600000&from=searchresults#hotelTmpl,2.7 km from centre,,,,One-Bedroom Apartment,"3 nights, 2 adults","Entire apartment • 1 bedroom • 1 living room • 1 bathroom
2 beds (1 sofa bed, 1 large double)",,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom
2 beds (1 sofa bed, 1 large double)
FREE cancellation • No prepayment needed
You can cancel later, so lock in this great price today.
Only 4 left at this price on our site",
"Taj homes stay
Opens in new window","₹ 9,000",Tirupati,https://www.booking.com/hotel/in/taj-homes-stay.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=39&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=708657502_295700515_4_0_0&highlighted_blocks=708657502_295700515_4_0_0&matching_block_id=708657502_295700515_4_0_0&sr_pri_blocks=708657502_295700515_4_0_0__900000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3.1 km from centre,9.1,Superb ,61 reviews,Two-Bedroom Apartment,"3 nights, 2 adults","Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 102m²
2 double beds",,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 102m²
2 double beds
FREE cancellation • No prepayment needed
You can cancel later, so lock in this great price today.
Only 2 left at this price on our site",
"OYO Townhouse 678 De Alphabet Tirupathi
Opens in new window","₹ 5,936",Tirupati,https://www.booking.com/hotel/in/oyo-townhouse-678-de-alphabet-tirupathi.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=41&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=797283702_341602454_2_1_0&highlighted_blocks=797283702_341602454_2_1_0&matching_block_id=797283702_341602454_2_1_0&sr_pri_blocks=797283702_341602454_2_1_0__593629&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2.1 km from centre,4.7,Review score ,3 reviews,Deluxe Triple Room,"3 nights, 2 adults",1 extra-large double bed,,"Deluxe Triple Room
1 extra-large double bed
Breakfast included
Free cancellation
You can cancel later, so lock in this great price today.",
"FOUR SEASONS HOME STAY
Opens in new window","₹ 8,400",Tirupati,https://www.booking.com/hotel/in/four-seasons-home-stay-tirupati.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=42&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003479&all_sr_blocks=793831304_339300753_2_0_0&highlighted_blocks=793831304_339300753_2_0_0&matching_block_id=793831304_339300753_2_0_0&sr_pri_blocks=793831304_339300753_2_0_0__840000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2.7 km from centre,9.4,Superb ,15 reviews,One-Bedroom Apartment,"3 nights, 2 adults","Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 120m²
2 beds (1 extra-large double, 1 sofa bed)",,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 120m²
2 beds (1 extra-large double, 1 sofa bed)
FREE cancellation • No prepayment needed
You can cancel later, so lock in this great price today.
Only 5 left at this price on our site",
